date,up1,up2,up3,up4,up5,y
2020-04-09,#N/A,#N/A,#N/A,#N/A,#N/A,38.28333333
2020-04-10,#N/A,#N/A,#N/A,#N/A,#N/A,23.32592593
2020-04-11,#N/A,#N/A,#N/A,#N/A,#N/A,10.10344828
2020-04-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-04-13,#N/A,#N/A,#N/A,#N/A,#N/A,20.16398714
2020-04-14,29.30555556,5,2.355555556,9.615444444,9.615444444,17.8372093
2020-04-15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-04-16,#N/A,#N/A,#N/A,#N/A,#N/A,42.43030303
2020-04-17,23.37,3.9,1.673333333,6.541222222,6.541222222,#N/A
2020-04-18,26.67962963,4.625925926,1.83962963,7.838444444,7.838444444,#N/A
2020-04-19,22.49192982,4.459649123,1.793684211,6.934947368,6.934947368,#N/A
2020-04-20,29.21142857,4.942857143,2.040952381,9.01552381,9.01552381,41.475
2020-04-21,26.47777778,5.017777778,2.057333333,8.049688889,8.049688889,79.96666667
2020-04-22,#N/A,#N/A,#N/A,#N/A,#N/A,65.21212121
2020-04-23,#N/A,#N/A,#N/A,#N/A,#N/A,43.21904762
2020-04-24,#N/A,#N/A,#N/A,#N/A,#N/A,40.125
2020-04-25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-04-26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-04-27,#N/A,#N/A,#N/A,#N/A,#N/A,80.10833333
2020-04-28,23.96666667,4.666666667,2.206666667,7.509333333,7.509333333,84.0375
2020-04-29,#N/A,#N/A,#N/A,#N/A,#N/A,145.7765363
2020-04-30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-05-01,#N/A,#N/A,#N/A,#N/A,#N/A,83.2
2020-05-02,34.28761905,5.29047619,3.021904762,10.87314286,10.87314286,98.45
2020-05-03,31.24833333,5.216666667,2.496666667,9.593333333,9.593333333,#N/A
2020-05-04,28.26148148,4.97037037,1.924074074,8.11862963,8.11862963,87.07619048
2020-05-05,32.41433333,5.506666667,2.331666667,9.921433333,9.921433333,#N/A
2020-05-06,36.09030303,5.951515152,2.560606061,10.9589697,10.9589697,106.1176471
2020-05-07,#N/A,#N/A,#N/A,#N/A,#N/A,122.9939394
2020-05-08,#N/A,#N/A,#N/A,#N/A,#N/A,147.9428571
2020-05-09,37.77714286,6.152380952,2.677142857,11.73495238,11.73495238,#N/A
2020-05-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-05-11,#N/A,#N/A,#N/A,#N/A,#N/A,173.5533333
2020-05-12,#N/A,#N/A,#N/A,#N/A,#N/A,166.447619
2020-05-13,40.49142857,5.59047619,3.786666667,12.50990476,12.50990476,145.1833333
2020-05-14,#N/A,#N/A,#N/A,#N/A,#N/A,169.9944444
2020-05-15,#N/A,#N/A,#N/A,#N/A,#N/A,154.9333333
2020-05-16,39.06634921,5.977777778,2.930793651,12.5704127,12.5704127,#N/A
2020-05-17,30.83090909,5.23030303,2.192727273,9.970242424,9.970242424,#N/A
2020-05-18,37.97166667,5.844444444,2.872222222,11.709,11.709,#N/A
2020-05-19,33.43714286,5.266666667,2.045714286,9.990761905,9.990761905,#N/A
2020-05-20,48.30888889,6.877777778,3.905555556,14.18255556,14.18255556,260.9328063
2020-05-21,#N/A,#N/A,#N/A,#N/A,#N/A,239.463964
2020-05-22,#N/A,#N/A,#N/A,#N/A,#N/A,216.5809524
2020-05-23,50.32809524,7.119047619,4.466190476,14.51047619,14.51047619,236.9333333
2020-05-24,#N/A,#N/A,#N/A,#N/A,#N/A,226.4666667
2020-05-25,#N/A,#N/A,#N/A,#N/A,#N/A,266.5121212
2020-05-26,#N/A,#N/A,#N/A,#N/A,#N/A,286.9333333
2020-05-27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-05-28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-05-29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-05-30,53.93454545,6.848484848,6.804848485,17.1606,17.1606,#N/A
2020-05-31,51.99185185,6.392592593,5.505925926,15.29562963,15.29562963,#N/A
2020-06-01,55.01757576,7.612121212,4.995757576,16.67848485,16.67848485,338.8554913
2020-06-02,50.295,6.822222222,4.961666667,14.53766667,14.53766667,291.1732991
2020-06-03,47.33555556,6.6,4.585185185,14.71459259,14.71459259,294.2666667
2020-06-04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-06-05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-06-06,64.61570681,8.204188482,8.148167539,18.86764398,18.86764398,#N/A
2020-06-07,69.76952381,7.99047619,8.593333333,17.65666667,17.65666667,#N/A
2020-06-08,51.93,7.077777778,5.421111111,15.38444444,15.38444444,327.5169492
2020-06-09,#N/A,#N/A,#N/A,#N/A,#N/A,356.9382353
2020-06-10,#N/A,#N/A,#N/A,#N/A,#N/A,292.454023
2020-06-11,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0
2020-06-16,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0
2020-06-20,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,0
2020-06-25,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0
2020-06-30,0,0,0,0,0,0
